,day_of_year,hour,clear_sky_ghi,cloud_cover,ghi,pv_power_kw,pv_energy_kwh
2024-06-01 00:00:00,153,0.0,0.0,0.3457075619631647,0.0,0.0,0.0
2024-06-01 00:05:00,153,0.08333333333333333,0.0,0.14400238406392565,0.0,0.0,0.0
2024-06-01 00:10:00,153,0.16666666666666666,0.0,0.41256767937096855,0.0,0.0,0.0
2024-06-01 00:15:00,153,0.25,0.0,0.44108470745868206,0.0,0.0,0.0
2024-06-01 00:20:00,153,0.3333333333333333,0.0,0.007344721701924517,0.0,0.0,0.0
2024-06-01 00:25:00,153,0.4166666666666667,0.0,0.10467307397065229,0.0,0.0,0.0
2024-06-01 00:30:00,153,0.5,0.0,0.3191760604750928,0.0,0.0,0.0
2024-06-01 00:35:00,153,0.5833333333333334,0.0,0.25256361114846265,0.0,0.0,0.0
2024-06-01 00:40:00,153,0.6666666666666666,0.0,0.29747982637435666,0.0,0.0,0.0
2024-06-01 00:45:00,153,0.75,0.0,0.172043410863963,0.0,0.0,0.0
2024-06-01 00:50:00,153,0.8333333333333334,0.0,0.43190969622942427,0.0,0.0,0.0
2024-06-01 00:55:00,153,0.9166666666666666,0.0,0.41666879031434223,0.0,0.0,0.0
2024-06-01 01:00:00,153,1.0,0.0,0.3099046046341824,0.0,0.0,0.0
2024-06-01 01:05:00,153,1.0833333333333333,0.0,0.46908618104520494,0.0,0.0,0.0
2024-06-01 01:10:00,153,1.1666666666666667,0.0,0.37012640133780683,0.0,0.0,0.0
2024-06-01 01:15:00,153,1.25,0.0,0.17110613056751425,0.0,0.0,0.0
2024-06-01 01:20:00,153,1.3333333333333333,0.0,0.3553126176123748,0.0,0.0,0.0
2024-06-01 01:25:00,153,1.4166666666666667,0.0,0.15616760987565015,0.0,0.0,0.0
2024-06-01 01:30:00,153,1.5,0.0,0.43176754519609084,0.0,0.0,0.0
2024-06-01 01:35:00,153,1.5833333333333335,0.0,0.29251111335206204,0.0,0.0,0.0
2024-06-01 01:40:00,153,1.6666666666666665,0.0,0.2722706454682109,0.0,0.0,0.0
2024-06-01 01:45:00,153,1.75,0.0,0.1978605683394088,0.0,0.0,0.0
2024-06-01 01:50:00,153,1.8333333333333335,0.0,0.4833812008011045,0.0,0.0,0.0
2024-06-01 01:55:00,153,1.9166666666666665,0.0,0.27682057768967966,0.0,0.0,0.0
2024-06-01 02:00:00,153,2.0,0.0,0.2357508266755339,0.0,0.0,0.0
2024-06-01 02:05:00,153,2.0833333333333335,0.0,0.24717996742676557,0.0,0.0,0.0
2024-06-01 02:10:00,153,2.1666666666666665,0.0,0.3798463778330023,0.0,0.0,0.0
2024-06-01 02:15:00,153,2.25,0.0,0.35481660965461176,0.0,0.0,0.0
2024-06-01 02:20:00,153,2.3333333333333335,0.0,0.36190989173939825,0.0,0.0,0.0
2024-06-01 02:25:00,153,2.4166666666666665,0.0,0.3646231504511824,0.0,0.0,0.0
2024-06-01 02:30:00,153,2.5,0.0,0.6212471401305691,0.0,0.0,0.0
2024-06-01 02:35:00,153,2.5833333333333335,0.0,0.23903774754230767,0.0,0.0,0.0
2024-06-01 02:40:00,153,2.6666666666666665,0.0,0.22316359063926938,0.0,0.0,0.0
2024-06-01 02:45:00,153,2.75,0.0,0.17793409076281835,0.0,0.0,0.0
2024-06-01 02:50:00,153,2.8333333333333335,0.0,0.3923969133863243,0.0,0.0,0.0
2024-06-01 02:55:00,153,2.9166666666666665,0.0,0.4693458439081337,0.0,0.0,0.0
2024-06-01 03:00:00,153,3.0,0.0,0.28290788135176875,0.0,0.0,0.0
2024-06-01 03:05:00,153,3.0833333333333335,0.0,0.17397652845562078,0.0,0.0,0.0
2024-06-01 03:10:00,153,3.1666666666666665,0.0,0.17632781764631406,0.0,0.0,0.0
2024-06-01 03:15:00,153,3.25,0.0,0.3975889181737051,0.0,0.0,0.0
2024-06-01 03:20:00,153,3.3333333333333335,0.0,0.41148812568051635,0.0,0.0,0.0
2024-06-01 03:25:00,153,3.4166666666666665,0.0,0.3814731402457792,0.0,0.0,0.0
