,load
2022-01-01 00:00:00,10.953828218535126
2022-01-01 01:00:00,8.590893928840272
2022-01-01 02:00:00,11.622429392613164
2022-01-01 03:00:00,12.921675884091188
2022-01-01 04:00:00,10.197438319110649
2022-01-01 05:00:00,13.273035872008048
2022-01-01 06:00:00,17.866262277965035
2022-01-01 07:00:00,19.827376287886658
2022-01-01 08:00:00,22.903776943333526
2022-01-01 09:00:00,24.09760932914217
2022-01-01 10:00:00,28.7985862130069
2022-01-01 11:00:00,30.259339446443118
2022-01-01 12:00:00,30.205773800242405
2022-01-01 13:00:00,32.1434720750551
2022-01-01 14:00:00,30.80799176727865
2022-01-01 15:00:00,27.80371284897484
2022-01-01 16:00:00,28.032615426836404
2022-01-01 17:00:00,23.93885131925904
2022-01-01 18:00:00,24.24665413155087
2022-01-01 19:00:00,20.22685130992265
2022-01-01 20:00:00,17.39720812789621
2022-01-01 21:00:00,14.204910815695616
2022-01-01 22:00:00,14.957803110102455
2022-01-01 23:00:00,11.279034586401165
2022-01-02 00:00:00,9.86123012916304
2022-01-02 01:00:00,9.629409379104887
2022-01-02 02:00:00,11.302185640737724
2022-01-02 03:00:00,12.066637460104184
2022-01-02 04:00:00,13.751803624131753
2022-01-02 05:00:00,15.882646061767671
2022-01-02 06:00:00,20.898707966650086
2022-01-02 07:00:00,19.70559688509754
2022-01-02 08:00:00,22.175838160397227
2022-01-02 09:00:00,24.17336516972126
2022-01-02 10:00:00,28.421703246474394
2022-01-02 11:00:00,30.805425894872194
2022-01-02 12:00:00,29.95579577045891
2022-01-02 13:00:00,29.2125943990679
2022-01-02 14:00:00,28.889995133404362
2022-01-02 15:00:00,30.087856637527914
2022-01-02 16:00:00,28.612615369416314
2022-01-02 17:00:00,26.20875566455087
2022-01-02 18:00:00,21.945937693071492
2022-01-02 19:00:00,20.66346139427454
2022-01-02 20:00:00,17.861265279055484
2022-01-02 21:00:00,15.564447452349372
2022-01-02 22:00:00,14.43984787366006
2022-01-02 23:00:00,11.85386468672009
2022-01-03 00:00:00,13.383291760656277
2022-01-03 01:00:00,12.058848764167168
2022-01-03 02:00:00,12.798600514083411
2022-01-03 03:00:00,14.506411074874364
2022-01-03 04:00:00,13.274011283091347
2022-01-03 05:00:00,17.456713415364792
2022-01-03 06:00:00,20.11457774160206
2022-01-03 07:00:00,22.956643547502647
2022-01-03 08:00:00,26.597070539854048
2022-01-03 09:00:00,32.13611236668617
2022-01-03 10:00:00,31.071428953320616
2022-01-03 11:00:00,35.72285943550599
2022-01-03 12:00:00,32.94069456626318
2022-01-03 13:00:00,35.37011293482283
2022-01-03 14:00:00,35.70912882134439
2022-01-03 15:00:00,35.14977540065769
2022-01-03 16:00:00,33.43701549654976
2022-01-03 17:00:00,31.083721252634465
2022-01-03 18:00:00,26.48669630832142
2022-01-03 19:00:00,23.221432630870808
2022-01-03 20:00:00,22.10710054492698
2022-01-03 21:00:00,17.64926375257833
2022-01-03 22:00:00,13.546215527867968
2022-01-03 23:00:00,11.859547915111332
2022-01-04 00:00:00,10.992744756843502
2022-01-04 01:00:00,12.709992327816648
2022-01-04 02:00:00,12.585561789951766
2022-01-04 03:00:00,14.602884967951525
2022-01-04 04:00:00,14.827620290329307
2022-01-04 05:00:00,18.184186354219072
2022-01-04 06:00:00,21.77031194043482
2022-01-04 07:00:00,23.464482613891647
2022-01-04 08:00:00,27.710241353796306
2022-01-04 09:00:00,28.917739117740027
2022-01-04 10:00:00,31.84392481726229
2022-01-04 11:00:00,33.71724106909664
2022-01-04 12:00:00,33.69132219271452
2022-01-04 13:00:00,36.623212356386375
2022-01-04 14:00:00,34.780978150794
2022-01-04 15:00:00,34.30858908818567
2022-01-04 16:00:00,33.10962557546876
2022-01-04 17:00:00,30.58042479338492
2022-01-04 18:00:00,28.02315616091937
2022-01-04 19:00:00,23.780774196707867
2022-01-04 20:00:00,20.196978881417582
2022-01-04 21:00:00,17.826799501244405
2022-01-04 22:00:00,12.937497608897067
2022-01-04 23:00:00,11.396488228215242
2022-01-05 00:00:00,10.394273654212054
2022-01-05 01:00:00,10.474569972109899
2022-01-05 02:00:00,12.97798441282881
2022-01-05 03:00:00,12.215956524599836
2022-01-05 04:00:00,14.909257147202593
