t,S,I,R
0.000000000000000000e+00,7.999000000000000000e+05,1.000000000000000000e+02,0.000000000000000000e+00
4.010025062656641381e-01,7.998901020177432802e+05,1.057732818724968240e+02,4.124700384180693291e+00
8.020050125313282763e-01,7.998796327387138736e+05,1.118797334262504961e+02,8.487527859783382311e+00
1.203007518796992414e+00,7.998685592231850605e+05,1.183385579027155927e+02,1.310221891220248125e+01
1.604010025062656553e+00,7.998568465873351088e+05,1.251700910678606391e+02,1.798332159700603938e+01
2.005012531328320691e+00,7.998444564769671997e+05,1.323966857198572598e+02,2.314683731287382074e+01
2.406015037593984829e+00,7.998313504490358755e+05,1.400407515721408913e+02,2.860879939201055322e+01
2.807017543859648967e+00,7.998174888747046934e+05,1.481253925179235580e+02,3.438573277731258315e+01
3.208020050125313105e+00,7.998028289799020858e+05,1.566755426882759537e+02,4.049547740960887410e+01
3.609022556390977243e+00,7.997873248453201959e+05,1.657179664521275981e+02,4.695718822766106371e+01
4.010025062656641381e+00,7.997709274064155761e+05,1.752812584162667235e+02,5.379133516816339267e+01
4.411027568922305520e+00,7.997535844534088392e+05,1.853958434253402743e+02,6.101970316574276154e+01
4.812030075187969658e+00,7.997352406312851235e+05,1.960939765618539923e+02,6.866539215295870235e+01
5.213032581453633796e+00,7.997158374397935113e+05,2.074097431461722749e+02,7.675281706030334306e+01
5.614035087719297934e+00,7.996953132334472612e+05,2.193790587365184024e+02,8.530770781620154253e+01
6.015037593984962072e+00,7.996736032215240411e+05,2.320396691289742535e+02,9.435710934701072006e+01
6.416040100250626210e+00,7.996506394680654630e+05,2.454311503574804760e+02,1.039293815770209335e+02
6.817042606516290348e+00,7.996263508918776643e+05,2.595949086938366008e+02,1.140541994284549219e+02
7.218045112781954487e+00,7.996006632665308425e+05,2.745741806477007003e+02,1.247625528214680344e+02
7.619047619047618625e+00,7.995734904170550872e+05,2.904190738050671712e+02,1.360905091397532374e+02
8.020050125313282763e+00,7.995447408699051011e+05,3.071827780472364680e+02,1.480763520476425583e+02
8.421052631578946901e+00,7.995143341993292561e+05,3.249122167353988289e+02,1.607535839352767368e+02
8.822055137844611039e+00,7.994821820985892555e+05,3.436588792334060827e+02,1.741590221772273708e+02
9.223057644110275177e+00,7.994481881021725712e+05,3.634789798985711400e+02,1.883329179288103887e+02
9.624060150375939315e+00,7.994122475857922109e+05,3.844334580816679363e+02,2.033189561260861922e+02
1.002506265664160345e+01,7.993742477663871832e+05,4.065879781269313753e+02,2.191642554858594849e+02
