t,S,I,R
0.000000000000000000e+00,2.999000000000000000e+05,1.000000000000000000e+02,0.000000000000000000e+00
4.010025062656641381e-01,2.998963994480320835e+05,9.959858066424351364e+01,4.001971303652782197e+00
8.020050125313282763e-01,2.998928133931187913e+05,9.919872982202278422e+01,7.987877059189109730e+00
1.203007518796992414e+00,2.998892417782591656e+05,9.880044169341361737e+01,1.195778004743651657e+01
1.604010025062656553e+00,2.998856845466625527e+05,9.840371051669769997e+01,1.591174282071930079e+01
2.005012531328320691e+00,2.998821416413901024e+05,9.800853051723599663e+01,1.984982809268771931e+01
2.406015037593984829e+00,2.998786130059169955e+05,9.761489595549198839e+01,2.377209812751260998e+01
2.807017543859648967e+00,2.998750985842256923e+05,9.722280113586352002e+01,2.767861463842748293e+01
3.208020050125313105e+00,2.998715983204937656e+05,9.683224038002884981e+01,3.156943912621644444e+01
3.609022556390977243e+00,2.998681121590938419e+05,9.644320802694676331e+01,3.544463287921418981e+01
4.010025062656641381e+00,2.998646400445938343e+05,9.605569843285643117e+01,3.930425697330601054e+01
4.411027568922305520e+00,2.998611819217567681e+05,9.566970597127753706e+01,4.314837227192779068e+01
4.812030075187969658e+00,2.998577377355408971e+05,9.528522503301019242e+01,4.697703942606601402e+01
5.213032581453633796e+00,2.998543074310995871e+05,9.490225002613500749e+01,5.079031887425773562e+01
5.614035087719297934e+00,2.998508909537813743e+05,9.452077537601299184e+01,5.458827084259064577e+01
6.015037593984962072e+00,2.998474882491300232e+05,9.414079552528568229e+01,5.837095534470298475e+01
6.416040100250626210e+00,2.998440992628843524e+05,9.376230493387502918e+01,6.213843218178361383e+01
6.817042606516290348e+00,2.998407239409784670e+05,9.338529807898346746e+01,6.589076094257197269e+01
7.218045112781954487e+00,2.998373622295415262e+05,9.300976945509385985e+01,6.962800100335812203e+01
7.619047619047618625e+00,2.998340140748980339e+05,9.263571357396955364e+01,7.335021152798265121e+01
8.020050125313282763e+00,2.998306794235674897e+05,9.226312496465438073e+01,7.705745146783684163e+01
8.421052631578946901e+00,2.998273582222646801e+05,9.189199817347257238e+01,8.074977956186249628e+01
8.822055137844611039e+00,2.998240504178994452e+05,9.152232776402885861e+01,8.442725433655203915e+01
9.223057644110275177e+00,2.998207559575768537e+05,9.115410831720843987e+01,8.808993410594841578e+01
9.624060150375939315e+00,2.998174747885972029e+05,9.078733443117694435e+01,9.173787697164529220e+01
1.002506265664160345e+01,2.998142068584558438e+05,9.042200072138047062e+01,9.537114082278688443e+01
1.042606516290726759e+01,2.998109521148433560e+05,9.005810182054558766e+01,9.898978333606788738e+01
1.082706766917293173e+01,2.998077105056456057e+05,8.969563237867930638e+01,1.025938619757338159e+02
1.122807017543859587e+01,2.998044819789433386e+05,8.933458706306913655e+01,1.061834339935805218e+02
1.162907268170426001e+01,2.998012664830127615e+05,8.897496055828298722e+01,1.097585564289546625e+02
1.203007518796992414e+01,2.997980639663250768e+05,8.861674756616928050e+01,1.133192861087533316e+02
1.243107769423558828e+01,2.997948743775467156e+05,8.825994280585686624e+01,1.168656796474243862e+02
1.283208020050125242e+01,2.997916976655392791e+05,8.790454101375506468e+01,1.203977934469660340e+02
1.323308270676691656e+01,2.997885337793595390e+05,8.755053694355366645e+01,1.239156836969273598e+02
1.363408521303258070e+01,2.997853826682593790e+05,8.719792536622290413e+01,1.274194063744078420e+02
1.403508771929824483e+01,2.997822442816859111e+05,8.684670107001348072e+01,1.309090172440576225e+02
1.443609022556390897e+01,2.997791185692814761e+05,8.649685886045655536e+01,1.343845718580773507e+02
1.483709273182957311e+01,2.997760054808834102e+05,8.614839356036374340e+01,1.378461255562185102e+02
1.523809523809523725e+01,2.997729049665243947e+05,8.580130000982713057e+01,1.412937334657828785e+02
1.563909774436090139e+01,2.997698169764321647e+05,8.545557306621925875e+01,1.447274505016230250e+02
1.604010025062656553e+01,2.997667414191577118e+05,8.511120352166638270e+01,1.481473773205694044e+02
1.644110275689222789e+01,2.997636781661111745e+05,8.476817853349020027e+01,1.515536553552785506e+02
1.684210526315789380e+01,2.997606271711544250e+05,8.442649328791139851e+01,1.549463355576513948e+02
1.724310776942355972e+01,2.997575883904402144e+05,8.408614319435537254e+01,1.583254663653926855e+02
1.764411027568922208e+01,2.997545617802167544e+05,8.374712367149130898e+01,1.616910961117458214e+02
1.804511278195488444e+01,2.997515472968272516e+05,8.340943014723210069e+01,1.650432730254929368e+02
1.844611528822055035e+01,2.997485448967102566e+05,8.307305805873434679e+01,1.683820452309548727e+02
1.884711779448621627e+01,2.997455545363996061e+05,8.273800285239842367e+01,1.717074607479910640e+02
1.924812030075187863e+01,2.997425761725240736e+05,8.240425998386844242e+01,1.750195674919995668e+02
1.964912280701754099e+01,2.997396097618080094e+05,8.207182491803222035e+01,1.783184132739172867e+02
2.005012531328320691e+01,2.997366552610707004e+05,8.174069312902130946e+01,1.816040458002197227e+02
2.045112781954887282e+01,2.997337126272268360e+05,8.141086010021103903e+01,1.848765126729209669e+02
2.085213032581453518e+01,2.997307818172861589e+05,8.108232132422041616e+01,1.881358613895739040e+02
