time,temperature_K
0.000000000000000000e+00,2.880000000000000000e+02
4.008016032064128376e-01,2.879999998515069706e+02
8.016032064128256751e-01,2.879999997030139411e+02
1.202404809619238568e+00,2.879999995545209117e+02
1.603206412825651350e+00,2.879999994060278823e+02
2.004008016032064354e+00,2.879999992575347960e+02
2.404809619238477136e+00,2.879999991090417666e+02
2.805611222444889918e+00,2.879999989605487372e+02
3.206412825651302700e+00,2.879999988120557077e+02
3.607214428857715482e+00,2.879999986635626783e+02
4.008016032064128709e+00,2.879999985150696489e+02
4.408817635270541047e+00,2.879999983665766194e+02
4.809619238476954273e+00,2.879999982180835900e+02
5.210420841683366611e+00,2.879999980695905037e+02
5.611222444889779837e+00,2.879999979210974743e+02
6.012024048096192175e+00,2.879999977726044449e+02
6.412825651302605401e+00,2.879999976241114155e+02
6.813627254509018627e+00,2.879999974756183860e+02
7.214428857715430965e+00,2.879999973271253566e+02
7.615230460921844191e+00,2.879999971786323272e+02
8.016032064128257417e+00,2.879999970301392977e+02
8.416833667334669755e+00,2.879999968816462683e+02
8.817635270541082093e+00,2.879999967331532957e+02
9.218436873747494431e+00,2.879999965846602663e+02
9.619238476953908545e+00,2.879999964361672369e+02
1.002004008016032088e+01,2.879999962876742075e+02
1.042084168336673322e+01,2.879999961391811780e+02
1.082164328657314734e+01,2.879999959906881486e+02
1.122244488977955967e+01,2.879999958421951192e+02
1.162324649298597201e+01,2.879999956937020897e+02
1.202404809619238435e+01,2.879999955452090603e+02
1.242484969939879846e+01,2.879999953967160877e+02
1.282565130260521080e+01,2.879999952482230583e+02
1.322645290581162314e+01,2.879999950997300289e+02
1.362725450901803725e+01,2.879999949512369994e+02
1.402805611222444959e+01,2.879999948027439700e+02
1.442885771543086193e+01,2.879999946542509974e+02
1.482965931863727427e+01,2.879999945057579680e+02
1.523046092184368838e+01,2.879999943572649386e+02
1.563126252505010072e+01,2.879999942087719660e+02
1.603206412825651483e+01,2.879999940602789366e+02
1.643286573146292540e+01,2.879999939117859071e+02
1.683366733466933951e+01,2.879999937632929345e+02
1.723446893787575362e+01,2.879999936147999051e+02
1.763527054108216419e+01,2.879999934663068757e+02
1.803607214428857830e+01,2.879999933178139031e+02
1.843687374749498886e+01,2.879999931693208737e+02
1.883767535070140298e+01,2.879999930208278442e+02
1.923847695390781709e+01,2.879999928723348717e+02
1.963927855711422765e+01,2.879999927238418422e+02
2.004008016032064177e+01,2.879999925753488697e+02
2.044088176352705588e+01,2.879999924268558402e+02
2.084168336673346644e+01,2.879999922783628676e+02
2.124248496993988056e+01,2.879999921298698382e+02
2.164328657314629467e+01,2.879999919813768656e+02
2.204408817635270523e+01,2.879999918328838362e+02
2.244488977955911935e+01,2.879999916843908636e+02
2.284569138276553346e+01,2.879999915358978342e+02
2.324649298597194402e+01,2.879999913874048616e+02
2.364729458917835814e+01,2.879999912389118890e+02
2.404809619238476870e+01,2.879999910904188596e+02
2.444889779559118281e+01,2.879999909419258870e+02
2.484969939879759693e+01,2.879999907934328576e+02
2.525050100200400749e+01,2.879999906449398850e+02
2.565130260521042160e+01,2.879999904964469124e+02
2.605210420841683572e+01,2.879999903479538830e+02
2.645290581162324628e+01,2.879999901994609104e+02
2.685370741482966039e+01,2.879999900509679378e+02
2.725450901803607451e+01,2.879999899024749084e+02
2.765531062124248507e+01,2.879999897539819358e+02
2.805611222444889918e+01,2.879999896054889632e+02
2.845691382765530975e+01,2.879999894569959906e+02
2.885771543086172386e+01,2.879999893085029612e+02
2.925851703406813797e+01,2.879999891600099886e+02
2.965931863727454854e+01,2.879999890115170160e+02
3.006012024048096265e+01,2.879999888630240434e+02
3.046092184368737676e+01,2.879999887145310709e+02
3.086172344689378733e+01,2.879999885660380983e+02
3.126252505010020144e+01,2.879999884175450688e+02
3.166332665330661555e+01,2.879999882690520963e+02
3.206412825651302967e+01,2.879999881205591237e+02
3.246492985971944023e+01,2.879999879720661511e+02
3.286573146292585079e+01,2.879999878235731785e+02
3.326653306613226846e+01,2.879999876750802059e+02
3.366733466933867902e+01,2.879999875265872333e+02
3.406813627254508958e+01,2.879999873780942607e+02
3.446893787575150725e+01,2.879999872296012882e+02
3.486973947895791781e+01,2.879999870811083156e+02
3.527054108216432837e+01,2.879999869326153430e+02
3.567134268537074604e+01,2.879999867841223704e+02
3.607214428857715660e+01,2.879999866356293978e+02
3.647294589178356716e+01,2.879999864871364252e+02
3.687374749498997772e+01,2.879999863386434527e+02
3.727454909819639539e+01,2.879999861901504801e+02
3.767535070140280595e+01,2.879999860416575075e+02
3.807615230460921651e+01,2.879999858931645349e+02
