time,temperature_K
0.000000000000000000e+00,2.880000000000000000e+02
4.008016032064128376e-01,2.879999998534190127e+02
8.016032064128256751e-01,2.879999997068379685e+02
1.202404809619238568e+00,2.879999995602569811e+02
1.603206412825651350e+00,2.879999994136759938e+02
2.004008016032064354e+00,2.879999992670950064e+02
2.404809619238477136e+00,2.879999991205140191e+02
2.805611222444889918e+00,2.879999989739329749e+02
3.206412825651302700e+00,2.879999988273519875e+02
3.607214428857715482e+00,2.879999986807710002e+02
4.008016032064128709e+00,2.879999985341900128e+02
4.408817635270541047e+00,2.879999983876089686e+02
4.809619238476954273e+00,2.879999982410279813e+02
5.210420841683366611e+00,2.879999980944469939e+02
5.611222444889779837e+00,2.879999979478660066e+02
6.012024048096192175e+00,2.879999978012850192e+02
6.412825651302605401e+00,2.879999976547039751e+02
6.813627254509018627e+00,2.879999975081229877e+02
7.214428857715430965e+00,2.879999973615420004e+02
7.615230460921844191e+00,2.879999972149610130e+02
8.016032064128257417e+00,2.879999970683800257e+02
8.416833667334669755e+00,2.879999969217990383e+02
8.817635270541082093e+00,2.879999967752180510e+02
9.218436873747494431e+00,2.879999966286370636e+02
9.619238476953908545e+00,2.879999964820560763e+02
1.002004008016032088e+01,2.879999963354750889e+02
1.042084168336673322e+01,2.879999961888941016e+02
1.082164328657314734e+01,2.879999960423131142e+02
1.122244488977955967e+01,2.879999958957321269e+02
1.162324649298597201e+01,2.879999957491511395e+02
1.202404809619238435e+01,2.879999956025701522e+02
1.242484969939879846e+01,2.879999954559891648e+02
1.282565130260521080e+01,2.879999953094081775e+02
1.322645290581162314e+01,2.879999951628271901e+02
1.362725450901803725e+01,2.879999950162462028e+02
1.402805611222444959e+01,2.879999948696652154e+02
1.442885771543086193e+01,2.879999947230842281e+02
1.482965931863727427e+01,2.879999945765032408e+02
1.523046092184368838e+01,2.879999944299222534e+02
1.563126252505010072e+01,2.879999942833413229e+02
1.603206412825651483e+01,2.879999941367603356e+02
1.643286573146292540e+01,2.879999939901793482e+02
1.683366733466933951e+01,2.879999938435983609e+02
1.723446893787575362e+01,2.879999936970173735e+02
1.763527054108216419e+01,2.879999935504364430e+02
1.803607214428857830e+01,2.879999934038554557e+02
1.843687374749498886e+01,2.879999932572744683e+02
1.883767535070140298e+01,2.879999931106935378e+02
1.923847695390781709e+01,2.879999929641125505e+02
1.963927855711422765e+01,2.879999928175315631e+02
2.004008016032064177e+01,2.879999926709505758e+02
2.044088176352705588e+01,2.879999925243696453e+02
2.084168336673346644e+01,2.879999923777886579e+02
2.124248496993988056e+01,2.879999922312076706e+02
2.164328657314629467e+01,2.879999920846267401e+02
2.204408817635270523e+01,2.879999919380457527e+02
2.244488977955911935e+01,2.879999917914648222e+02
2.284569138276553346e+01,2.879999916448838349e+02
2.324649298597194402e+01,2.879999914983029043e+02
2.364729458917835814e+01,2.879999913517219170e+02
2.404809619238476870e+01,2.879999912051409297e+02
2.444889779559118281e+01,2.879999910585599991e+02
2.484969939879759693e+01,2.879999909119790118e+02
2.525050100200400749e+01,2.879999907653980813e+02
